title,subtitle,sp,tags,img
Giant kelp,Macrocystis pyrifera,algae,algae;brown,./images/Hab_char_images/MP_stipe.png
Southern sea palm,Eisenia arborea,algae,algae;brown,./images/Hab_char_images/EA_stip.jpg
Stalked kelp,Pterygophora californica,algae,algae;brown,./images/Hab_char_images/PC_stipe.jpg
Oarweed,Laminaria farlowii,algae,algae;brown,./images/Hab_char_images/LF_stipe.jpg
Elk Kelp,Pelgophycus pora,algae,algae;brown,./images/Hab_char_images/PP_stipe.jpg
Sieve kelp / reticulated kelp,Agarum/Dictyoneuropsis,algae,algae;brown,./images/Hab_char_images/Agarum:Dictyoneuropsis.jpg
Wireweed,Sargassum horneri,algae,algae;brown,./images/Hab_char_images/SH_stipe.jpg
,Foliose red algae,,algae;red,
,Articulated coralline algae,,algae;red,
,Encrusting corraline algae,,algae;red,
Purple sea urchin,Stronglyocentrotus purpuratus,,invertebrate;urchin,
Red sea urchin,Mesocentrotus fransiscanus,,invertebrate;urchin,
Sponges/bryozoans/tunicatees,Encrusting invertebrates,,invertebrate;other,
,Boulder,,substrate,
,Bedrock,,substrate,
,Cobble,,substrate,
,Sand,,substrate,
