title,subtitle,img,,btn_bkgrnd_color,btn_font_color
Pink Abalone,Haliotis corrugata,./images/Shell_images/H_corrugata_dorsal.png,,#343a40,#fff
Pink Abalone,Haliotis corrugata,./images/Shell_images/H_corrugata_ventral.png,,,
Black Abalone,Haliotis cracherodii,./images/Shell_images/H_cracherodii_dorsal.png,,#73a839,#fff
Black Abalone,Haliotis cracherodii,./images/Shell_images/H_cracherodii_dorsal.png,,#806961,#fff
Green Abalone,Haliotis fulgens,./images/Shell_images/H_fulgens_dorsal.png,,#763f37,#fff
Green Abalone,Haliotis fulgens,./images/Shell_images/H_fulgens_dorsal.png,,#efd8b4,#000
Pinto Abalone,Haliotis kamtschatkana,./images/Shell_images/H_kamtschatkana_dorsal.png,,,
Pinto Abalone,Haliotis kamtschatkana,./images/Shell_images/H_kamtschatkana_ventral.png,,,
Red Abalone,Haliotis rufescens,./images/Shell_images/H_rufescens_dorsal.png,,,
Red Abalone,Haliotis rufescens,./images/Shell_images/H_rufescens_ventral.png,,,
White Abalone,Haliotis sorenseni,./images/Shell_images/H_sorenseni_dorsal.png,,,
White Abalone,Haliotis sorenseni,./images/Shell_images/H_sorenseni_ventral.png,,,
Flat Abalone,Halitois walallensis,./images/Shell_images/H_walallensis_dorsal.png,,,
Flat Abalone,Halitois walallensis,./images/Shell_images/H_walallensis_ventral.png,,,
